temp avg(Åé),max_temp(Åé),min_temp(Åé),total rain(mm),humid avg(Åì),cloud avg
6.4,14.8,0.8,47,59,8
6.1,13.8,-0.8,91,63,7.6
9.6,19.3,-0.2,93,61,6.5
16.7,30.1,7.7,36,56,5.3
19.4,28.6,13.1,62.5,63,6.4
24.8,34.4,15.7,15,66,7.3
27.6,34.7,21.7,301,73,7.3
28.4,35.5,21.5,73.5,68,7
26,33.1,18.3,115,72,6.6
20.5,33.3,11,18.5,65,6.4
14.4,25.9,6.1,109,64,6
6,17.2,-1.7,58.5,58,7.5
6.9,17.9,-0.1,46,64,7.4
7.7,18.2,-0.3,93,63,7.6
10.1,20.1,0.6,102,61,6.3
14.6,27.8,6.4,199.5,63,6.4
19.2,28.5,10.5,183.5,73,7.9
23.2,31.4,17.1,320,74,8
27.3,35.5,20.7,405.5,75,7.7
29,35.5,22.6,256,72,5.9
23.3,32.1,16.5,236.5,74,6.8
20.6,28.3,13.8,28,68,4.4
15,25.7,7.5,107,65,6.5
9.5,16.4,0,41,64,6.9
7.6,13.3,1.5,47.5,61,7.8
9.8,19.1,-1.3,61.5,63,5.2
11.3,25.5,3.1,81.5,57,6.4
15.1,25.4,4.7,74.5,57,6.3
20.4,31,11.7,64.5,60,5.9
23.8,33.8,16.8,40.5,71,8
26.3,34.4,20,381,74,7
29.4,37.2,24,178.5,66,6.4
27,35.6,20.7,72,69,6.5
20.9,30.5,9.9,88,63,5.2
14.1,22.4,5.5,13,58,5.7
9.8,18.4,3,92.5,60,7.3
7.5,18.9,1.5,70,62,7.1
6.3,15.8,0.4,52,52,6.5
10.7,22.8,0.9,162,64,5.7
15,25.9,6.9,120,65,6.6
19.4,28.7,10.9,163.5,64,6.4
22.2,31.5,13.2,386,76,8.8
29,36.5,18.4,48,68,6.2
27.6,37.3,21.2,419,71,7.1
25,32.6,17.2,174,74,8
20.3,28.5,12.8,16.5,64,6.3
13.4,23.6,4.4,91,64,7.5
9.1,19.8,0.7,78.5,62,6.3
6.4,14.4,-1.2,62.5,63,7.8
9.8,21.3,2.5,86,66,6.2
11.7,23.9,3.2,46,57,6.6
15.6,25.9,4.5,99.5,57,5
19.9,30.1,12.7,45.5,60,6.4
23.6,32,15.4,219,68,7.9
26.8,34.8,19.7,619.5,72,8.9
27.6,34.9,20.2,94,70,7
24.4,32.5,17.8,83.5,69,5.5
19.7,28.3,12.1,105,61,5.7
13.7,26.4,3.9,181.5,66,6.8
